date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:54	110095/110095	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:50%20GMT	https://www.train-motion.com/shop/page/2/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/2/index2b71.html	(from https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment)
12:31:55	109841/109841	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:52%20GMT	https://www.train-motion.com/shop/page/3/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/3/index2b71.html	(from https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment)
12:31:57	110054/110054	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:54%20GMT	https://www.train-motion.com/shop/page/4/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/4/index2b71.html	(from https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment)
12:31:59	109813/109813	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:55%20GMT	https://www.train-motion.com/shop/page/9/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/9/index2b71.html	(from https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment)
12:32:01	109597/109597	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:57%20GMT	https://www.train-motion.com/shop/page/10/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/10/index2b71.html	(from https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment)
12:32:02	105615/105615	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:58%20GMT	https://www.train-motion.com/shop/page/11/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/11/index2b71.html	(from https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment)
12:32:04	109721/109721	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:00%20GMT	https://www.train-motion.com/shop/page/2/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd&add-to-cart=24432	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/2/indexce9c.html	(from https://www.train-motion.com/shop/page/2/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:06	109717/109717	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:02%20GMT	https://www.train-motion.com/shop/page/2/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd&add-to-cart=24434	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/2/indexcd77.html	(from https://www.train-motion.com/shop/page/2/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:08	109400/109400	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:04%20GMT	https://www.train-motion.com/shop/page/5/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/5/indexaf32.html	(from https://www.train-motion.com/shop/page/2/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:10	109445/109445	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:06%20GMT	https://www.train-motion.com/shop/page/3/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd&add-to-cart=24353	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/3/indexd293.html	(from https://www.train-motion.com/shop/page/3/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:11	109446/109446	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:07%20GMT	https://www.train-motion.com/shop/page/3/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd&add-to-cart=24325	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/3/index2a58.html	(from https://www.train-motion.com/shop/page/3/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:13	109385/109385	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:10%20GMT	https://www.train-motion.com/shop/page/6/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/6/indexaf32.html	(from https://www.train-motion.com/shop/page/3/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:15	109620/109620	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:12%20GMT	https://www.train-motion.com/shop/page/4/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd&add-to-cart=24297	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/4/index547f.html	(from https://www.train-motion.com/shop/page/4/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:18	109618/109618	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:14%20GMT	https://www.train-motion.com/shop/page/4/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd&add-to-cart=24270	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/4/indexdb04.html	(from https://www.train-motion.com/shop/page/4/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:20	109373/109373	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:16%20GMT	https://www.train-motion.com/shop/page/7/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/7/indexaf32.html	(from https://www.train-motion.com/shop/page/4/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:21	109416/109416	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:18%20GMT	https://www.train-motion.com/shop/page/9/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd&add-to-cart=23728	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/9/indexd0b7.html	(from https://www.train-motion.com/shop/page/9/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
12:32:24	109413/109413	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:32:20%20GMT	https://www.train-motion.com/shop/page/9/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd&add-to-cart=22581	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/9/index6eae.html	(from https://www.train-motion.com/shop/page/9/?filter_manufacturer=bautzen-gorlitz&source_id=154&source_tax=pa_operator&filter_operator=cd)
